# time(ns)  Fourier    CSA-BTE   RTA-BTE
  0.072000     0.345001     0.821692     0.824363   
  0.072500     0.342456     0.819758     0.822519   
  0.073000     0.339929     0.817819     0.820672   
  0.073500     0.337420     0.815877     0.818823   
  0.074000     0.334929     0.813932     0.816972   
  0.074500     0.332455     0.811982     0.815118   
  0.075000     0.329999     0.810030     0.813263   
  0.075500     0.327560     0.808073     0.811405   
  0.076000     0.325139     0.806114     0.809546   
  0.076500     0.322735     0.804151     0.807685   
  0.077000     0.320348     0.802185     0.805822   
  0.077500     0.317979     0.800216     0.803957   
  0.078000     0.315627     0.798245     0.802091   
  0.078500     0.313293     0.796270     0.800223   
  0.079000     0.310975     0.794292     0.798354   
  0.079500     0.308675     0.792311     0.796483   
  0.080000     0.306392     0.790328     0.794612   
  0.080500     0.304127     0.788342     0.792738   
  0.081000     0.301878     0.786354     0.790864   
  0.081500     0.299646     0.784363     0.788989   
  0.082000     0.297431     0.782370     0.787113   
  0.082500     0.295234     0.780374     0.785236   
  0.083000     0.293053     0.778376     0.783358   
  0.083500     0.290889     0.776376     0.781479   
  0.084000     0.288741     0.774373     0.779599   
  0.084500     0.286610     0.772369     0.777719   
  0.085000     0.284496     0.770363     0.775838   
  0.085500     0.282398     0.768354     0.773957   
  0.086000     0.280316     0.766344     0.772075   
  0.086500     0.278250     0.764332     0.770193   
  0.087000     0.276200     0.762318     0.768311   
  0.087500     0.274166     0.760303     0.766428   
  0.088000     0.272147     0.758285     0.764545   
  0.088500     0.270143     0.756267     0.762662   
  0.089000     0.268155     0.754246     0.760779   
  0.089500     0.266181     0.752225     0.758896   
  0.090000     0.264223     0.750202     0.757013   
  0.090500     0.262279     0.748177     0.755130   
  0.091000     0.260350     0.746152     0.753247   
  0.091500     0.258436     0.744125     0.751365   
  0.092000     0.256536     0.742097     0.749482   
  0.092500     0.254650     0.740067     0.747600   
  0.093000     0.252778     0.738037     0.745718   
  0.093500     0.250921     0.736006     0.743837   
  0.094000     0.249077     0.733974     0.741956   
  0.094500     0.247247     0.731941     0.740076   
  0.095000     0.245430     0.729907     0.738196   
  0.095500     0.243627     0.727872     0.736317   
  0.096000     0.241837     0.725837     0.734438   
  0.096500     0.240061     0.723800     0.732560   
  0.097000     0.238297     0.721764     0.730683   
  0.097500     0.236546     0.719726     0.728807   
  0.098000     0.234808     0.717688     0.726932   
  0.098500     0.233083     0.715650     0.725057   
  0.099000     0.231369     0.713611     0.723183   
  0.099500     0.229669     0.711571     0.721311   
  0.100000     0.227980     0.709531     0.719439   
  0.100500     0.226303     0.707491     0.717568   
  0.101000     0.224638     0.705451     0.715699   
  0.101500     0.222985     0.703410     0.713830   
  0.102000     0.221344     0.701369     0.711963   
  0.102500     0.219714     0.699328     0.710097   
  0.103000     0.218096     0.697286     0.708232   
  0.103500     0.216489     0.695245     0.706368   
  0.104000     0.214893     0.693204     0.704506   
  0.104500     0.213309     0.691162     0.702645   
  0.105000     0.211736     0.689121     0.700785   
  0.105500     0.210173     0.687079     0.698927   
  0.106000     0.208622     0.685038     0.697070   
  0.106500     0.207081     0.682997     0.695214   
  0.107000     0.205551     0.680956     0.693360   
  0.107500     0.204032     0.678915     0.691508   
  0.108000     0.202524     0.676874     0.689657   
  0.108500     0.201026     0.674834     0.687808   
  0.109000     0.199539     0.672794     0.685960   
  0.109500     0.198063     0.670754     0.684114   
  0.110000     0.196597     0.668715     0.682270   
  0.110500     0.195142     0.666676     0.680427   
  0.111000     0.193697     0.664637     0.678587   
  0.111500     0.192262     0.662599     0.676747   
  0.112000     0.190838     0.660561     0.674910   
  0.112500     0.189424     0.658524     0.673074   
  0.113000     0.188021     0.656488     0.671241   
  0.113500     0.186628     0.654452     0.669409   
  0.114000     0.185245     0.652416     0.667579   
  0.114500     0.183872     0.650381     0.665751   
  0.115000     0.182510     0.648347     0.663925   
  0.115500     0.181158     0.646314     0.662100   
  0.116000     0.179816     0.644281     0.660278   
  0.116500     0.178484     0.642249     0.658458   
  0.117000     0.177162     0.640218     0.656640   
  0.117500     0.175850     0.638188     0.654823   
  0.118000     0.174548     0.636158     0.653009   
  0.118500     0.173256     0.634130     0.651197   
  0.119000     0.171974     0.632102     0.649387   
  0.119500     0.170702     0.630075     0.647579   
  0.120000     0.169440     0.628049     0.645774   
  0.120500     0.168187     0.626024     0.643970   
  0.121000     0.166945     0.624000     0.642169   
  0.121500     0.165712     0.621977     0.640370   
  0.122000     0.164488     0.619955     0.638573   
  0.122500     0.163274     0.617934     0.636778   
  0.123000     0.162070     0.615914     0.634986   
  0.123500     0.160875     0.613895     0.633196   
  0.124000     0.159689     0.611878     0.631408   
  0.124500     0.158512     0.609861     0.629623   
  0.125000     0.157344     0.607846     0.627840   
  0.125500     0.156186     0.605832     0.626059   
  0.126000     0.155036     0.603819     0.624281   
  0.126500     0.153895     0.601807     0.622504   
  0.127000     0.152763     0.599797     0.620731   
  0.127500     0.151640     0.597788     0.618960   
  0.128000     0.150525     0.595780     0.617191   
  0.128500     0.149419     0.593773     0.615424   
  0.129000     0.148321     0.591768     0.613660   
  0.129500     0.147231     0.589764     0.611899   
  0.130000     0.146150     0.587762     0.610140   
  0.130500     0.145077     0.585761     0.608384   
  0.131000     0.144012     0.583761     0.606629   
  0.131500     0.142956     0.581763     0.604878   
  0.132000     0.141907     0.579766     0.603129   
  0.132500     0.140866     0.577771     0.601383   
  0.133000     0.139833     0.575777     0.599639   
  0.133500     0.138808     0.573784     0.597897   
  0.134000     0.137790     0.571793     0.596159   
  0.134500     0.136780     0.569804     0.594422   
  0.135000     0.135778     0.567816     0.592689   
  0.135500     0.134783     0.565830     0.590958   
  0.136000     0.133796     0.563845     0.589229   
  0.136500     0.132816     0.561862     0.587504   
  0.137000     0.131843     0.559881     0.585780   
  0.137500     0.130878     0.557901     0.584060   
  0.138000     0.129919     0.555923     0.582342   
  0.138500     0.128968     0.553946     0.580627   
  0.139000     0.128024     0.551971     0.578914   
  0.139500     0.127087     0.549998     0.577204   
  0.140000     0.126156     0.548026     0.575497   
  0.140500     0.125233     0.546056     0.573792   
  0.141000     0.124316     0.544088     0.572090   
  0.141500     0.123405     0.542121     0.570391   
  0.142000     0.122502     0.540157     0.568695   
  0.142500     0.121604     0.538194     0.567001   
  0.143000     0.120714     0.536232     0.565310   
  0.143500     0.119829     0.534273     0.563621   
  0.144000     0.118951     0.532315     0.561936   
  0.144500     0.118079     0.530359     0.560253   
  0.145000     0.117213     0.528405     0.558572   
  0.145500     0.116353     0.526453     0.556895   
  0.146000     0.115499     0.524503     0.555220   
  0.146500     0.114651     0.522554     0.553548   
  0.147000     0.113809     0.520607     0.551878   
  0.147500     0.112973     0.518662     0.550212   
  0.148000     0.112143     0.516719     0.548548   
  0.148500     0.111319     0.514778     0.546887   
  0.149000     0.110500     0.512839     0.545229   
  0.149500     0.109687     0.510902     0.543573   
  0.150000     0.108879     0.508966     0.541920   
  0.150500     0.108077     0.507033     0.540270   
  0.151000     0.107281     0.505101     0.538623   
  0.151500     0.106490     0.503172     0.536979   
  0.152000     0.105704     0.501244     0.535337   
  0.152500     0.104924     0.499318     0.533698   
  0.153000     0.104149     0.497394     0.532062   
  0.153500     0.103380     0.495473     0.530429   
  0.154000     0.102615     0.493553     0.528798   
  0.154500     0.101856     0.491635     0.527170   
  0.155000     0.101103     0.489719     0.525546   
  0.155500     0.100354     0.487806     0.523923   
  0.156000     0.099611     0.485894     0.522304   
  0.156500     0.098872     0.483984     0.520688   
  0.157000     0.098139     0.482077     0.519074   
  0.157500     0.097411     0.480171     0.517463   
  0.158000     0.096688     0.478268     0.515855   
  0.158500     0.095971     0.476366     0.514250   
  0.159000     0.095258     0.474467     0.512647   
  0.159500     0.094550     0.472570     0.511048   
  0.160000     0.093847     0.470675     0.509451   
  0.160500     0.093150     0.468782     0.507857   
  0.161000     0.092457     0.466891     0.506266   
  0.161500     0.091769     0.465002     0.504678   
  0.162000     0.091086     0.463116     0.503092   
  0.162500     0.090409     0.461231     0.501510   
  0.163000     0.089736     0.459349     0.499930   
  0.163500     0.089067     0.457469     0.498353   
